ID,NAME,CATEGORY,CHECK-IN,LAT,LONG
547e1a04498e3f5770351032,Romano's Maccaroni & Grill | ø±™š™ƒø_™Ê™šø_ ™ƒ™€ø_ø±™š™Ê™_ øåø±™_™‹,Restaurant,2667,24.78296873,46.66151211
547e1a04498e3f5770351032,El Dorado Coffee and tea | ø_™‹ø¿™šø±ø_ø¿™š,Restaurant,1416,24.78046532,46.66289818
4b914064f964a5204fad33e3,Steak House | ø_øÈ™_™€ ™ˆø_™šø_,Restaurant,10758,24.77198115,46.6746483
4b914064f964a5204fad33e3,Piatto | øÂ™_ø_øÈ™š,Restaurant,20945,24.77176259,46.67416513
4b914064f964a5204fad33e3,Starbucks | ø_øÈø_ø±øÂ™€ø_,Restaurant,17371,24.77239179,46.67309686
4b914064f964a5204fad33e3,Tamimi Markets | ø_ø_™šø_™‰ ø_™‹øÈ™ƒ™_™ƒ™_,Restaurant,7731,24.79083891,46.64874701
54cb6228498ed74155aa6871,Paul | ™_™š™‹,Restaurant,846,24.77134223,46.66919254
54cb6228498ed74155aa6871,øÈø_™‹ø_ ™ƒ™š™‹ | Tala Mall,Restaurant,2537,24.77173425,46.66938115
54cb6228498ed74155aa6871,Carrefour ™€ø_ø±™™šø±,Restaurant,2960,24.77179767,46.66888606
50d5f40ae4b0a7a64fba7fa8,ABYAT  | ø£øÂ™_ø_øÈ,Furniture / Home Store,2404,24.76788756,46.66129053
4e5aba9a1f6e804280d74be3,Midas | ™ƒ™_ø¿ø_ø_,Furniture / Home Store,1526,24.76577602,46.6601968
4e5aba9a1f6e804280d74be3,Roomz by Almutlaq,Furniture / Home Store,1027,24.77029159,46.66743279
4f15c269e4b03f4c03fb50e0,IKEA Cafe | ™ƒ™‰™ˆ™Š ø¢™_™€™_ø_,Restaurant,509,24.65986933,46.78696044
4ec2ba5c775b802d1ff48dbf,Home Center,Furniture / Home Store,393,24.66061901,46.78352929
4efdab659a520dfd643bd750,Candy Days ™€ø_™Êø¿™_ ø¿™_ø_,Candy Store,619,24.74305106,46.65814611
4dc2ea4afa7608e86fe52b0d,Hyper Panda,Department Store,644,24.74283868,46.65846667
4dc2ea4afa7608e86fe52b0d,"Food Court, Riyadh Gallery",Department Store,1246,24.74335006,46.65833938
4db3038a43a1369cb5989f18,Dairy Queen ø¿™_ø±™_ ™€™š™_™Ê,Restaurant,384,24.74326546,46.6582451
510a9299e4b0de3a2a1b168c,Fatburger | ™ø_øÈøÂø±øåø±,Restaurant,608,24.74371463,46.65833938
510a9299e4b0de3a2a1b168c,Starbucks | ø_øÈø_ø±øÂ™€ø_,Restaurant,2506,24.74295671,46.65839124
510a9299e4b0de3a2a1b168c,THE CREPE CAFE I øÁ™_ ™€ø±™_øÂ ™€ø_™™_™ˆ,Restaurant,4101,24.74312586,46.65856095
4b78de8df964a52018e52ee3,Tamimi Markets | ø£ø_™šø_™‰ ø_™‹øÈ™ƒ™_™ƒ™_,Coffee Shop,12545,24.71363798,46.63377527
50583de6e4b02ba603de9f2e,Mama Noura | ™ƒø_™ƒø_ ™Ê™šø±ø©,Coffee Shop,8382,24.72438984,46.65726185
4ff3f389e4b05ae522acd704,dr.CAFE | ø¿.™€™_™,Coffee Shop,2200,24.72567748,46.66023451
514a25f2e4b0b12bdd3b4f96,The Sandwich Co.,Plaza,3720,24.78120185,46.66243315
536b5ae7498e047e33524612,Nino | ™Ê™_™Ê™š,Restaurant,6540,24.79813839,46.65468605
536b5ae7498e047e33524612,Marta's Cakes ™ƒø_ø±øÈø_ ™€™_™€,Restaurant,933,24.79820346,46.65464363
536b5ae7498e047e33524612,Moroccan Taste | ø_™‹™ƒøÁø_™‰ ø_™‹™ƒø_ø±øÂ™_,Restaurant,1726,24.80417803,46.65147605
4db1535243a1bea42bc84163,Anatolia | ø_™Êø_øÈ™š™‹™_ø_,Food Court,1936,24.78062714,46.73072219
4d1335a5d0fda093324eb157,Granada Center Food Court,Electronics Store,1159,24.78128441,46.73043773
5392bba3498ee0e5e0b5258f,Tim Hortons | øÈ™_™ƒ ™ˆ™šø±øÈ™Êø_,Coffee Shop,7865,24.78306694,46.72963518
5392bba3498ee0e5e0b5258f,Carrefour | ™€ø_ø±™™šø±,Coffee Shop,4735,24.78197686,46.7316888
5392bba3498ee0e5e0b5258f,Extra | ø«™€ø_øÈø±ø_,Coffee Shop,1537,24.78352755,46.72990899
5392bba3498ee0e5e0b5258f,Starbucks | ø_øÈø_ø±øÂ™€ø_,Coffee Shop,3331,24.78134661,46.73032915
4f3a9c99e4b0928989480081,øÂø_ø_™€™Ê ø±™šøÂ™Êø_ || Baskin Robbins,Ice Cream Shop,859,24.78700368,46.66036651
5042691be4b055ecd356a70e,™ƒø±™€ø_ ø_™‹ø±øÂ™_ø_ | Alrabie Center,Plaza,467,24.78703715,46.66046551
4d9d743a83f36ea82234b894,Caribou Coffee,Coffee Shop,1799,24.74310921,46.6803216
5139fc8ae4b004aa50c9d237,Starbucks | ø_øÈø_ø±øÂ™€ø_,Coffee Shop,1141,24.74206862,46.68066117
516df5b9f31cd0ea72e739cb,Starbucks | ø_øÈø_ø±øÂ™€ø_,Resraurant,2609,24.73907201,46.68262317
4c9b53239c663704381060fd,Paul | ™_™š™‹,Restaurant,3381,24.74201595,46.68059043
4dcaa1351f6e2812677b47b1,Tony Roma's,Restaurant,576,24.74251373,46.67970849
509699e9e4b0e52fa47b9ed0,Subway | øµøÂ ™šø_™_,Resraurant,2473,24.73158235,46.69740669
4f6cadffe4b032eb625233d5,Fruit Islands | øåø_™_ø±ø© ø_™‹™™šø_™€™ˆ,Juice Bar,359,24.738759,46.693755
