TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
486,8994,8542,17536,0,395,395,17931
487,1659,1294,2953,120,60,180,3133
488,352,297,649,20,9,29,678
489,6230,5260,11490,2036,904,2940,14430
490,2911,2457,5368,675,299,974,6342
491,6435,5433,11868,1747,776,2523,14391
492,1295,1094,2389,901,400,1301,3690
493,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0
495,1951,1986,3937,190,218,408,4345
496,2396,2264,4660,302,452,754,5414
497,35,36,71,49,30,79,150
498,3614,3715,7329,1038,635,1673,9002
499,5989,5743,11732,2764,3102,5866,17598
500,0,0,0,0,0,0,0
501,168,162,330,10,11,21,351
502,1514,1451,2965,1411,1583,2994,5959
503,0,0,0,0,0,0,0
504,591,567,1158,226,254,480,1638
505,6787,6507,13294,2014,2262,4276,17570
506,0,0,0,0,0,0,0
507,2123,1903,4026,363,282,645,4671
508,4593,3909,8502,3407,1672,5079,13581
509,10,12,22,237,122,359,381
510,0,0,0,264,0,264,264
511,0,0,0,0,0,0,0
512,2,2,4,14,7,21,25
513,0,0,0,0,0,0,0
514,1660,1617,3277,466,291,757,4034
515,131,127,258,60,37,97,355
516,0,0,0,0,0,0,0
517,36,36,72,10,7,17,89
518,0,0,0,27,22,49,49
519,0,0,0,0,0,0,0
520,539,483,1022,87,55,142,1164
521,928,881,1809,206,288,494,2303
522,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0
526,1940,1841,3781,1066,1493,2559,6340
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,2219,2106,4325,1191,1668,2859,7184
530,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,80,57,137,3,3,6,143
539,0,0,0,0,0,0,0
540,4,3,7,2,3,5,12
541,0,0,0,0,0,0,0
542,0,0,0,9,0,9,9
543,0,0,0,18,0,18,18
544,0,0,0,14,0,14,14
545,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0
547,0,0,0,9,0,9,9
548,523,373,896,316,362,678,1574
549,0,0,0,0,0,0,0
550,0,0,0,81,0,81,81
551,0,0,0,67,0,67,67
552,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0
556,0,0,0,27,0,27,27
557,0,0,0,175,0,175,175
558,0,0,0,0,0,0,0
559,0,0,0,49,0,49,49
560,1247,1117,2364,1590,999,2589,4953
561,0,0,0,0,0,0,0
562,2861,2562,5423,3887,2443,6330,11753
563,1663,1490,3153,1476,928,2404,5557
564,125,117,242,66,262,328,570
565,0,0,0,184,0,184,184
566,2276,2126,4402,227,906,1133,5535
567,2402,2244,4646,262,1050,1312,5958
568,2829,2642,5471,366,1463,1829,7300
569,4913,4221,9134,2703,1622,4325,13459
570,2912,2502,5414,1383,830,2213,7627
571,0,0,0,0,0,0,0
572,3306,2840,6146,1353,812,2165,8311
573,14,13,27,6,23,29,56
574,17,15,32,9,35,44,76
575,118,111,229,58,234,292,521
576,0,0,0,0,0,0,0
577,1473,1265,2738,383,230,613,3351
578,1728,1484,3212,619,371,990,4202
579,1277,1097,2374,174,105,279,2653
580,0,0,0,0,0,0,0
581,1553,1450,3003,187,746,933,3936
582,1227,1146,2373,158,633,791,3164
583,1400,1151,2551,165,83,248,2799
584,1227,1053,2280,219,405,624,2904
585,1461,1254,2715,268,494,762,3477
586,2843,2442,5285,758,1399,2157,7442
587,0,0,0,0,0,0,0
588,1424,1171,2595,43,21,64,2659
589,2330,1665,3995,294,336,630,4625
590,2083,1712,3795,117,59,176,3971
591,1768,1454,3222,107,54,161,3383
592,3025,2189,5214,282,339,621,5835
593,0,0,0,0,0,0,0
594,2650,1918,4568,360,432,792,5360
595,3,1,4,1,0,1,5
596,0,0,0,0,0,0,0
597,2891,2275,5166,2242,1842,4084,9250
598,3632,2858,6490,1719,1412,3131,9621
599,2809,2210,5019,1503,1234,2737,7756
600,2360,1822,4182,925,337,1262,5444
601,1984,1531,3515,1213,441,1654,5169
602,1476,1140,2616,998,363,1361,3977
603,1565,924,2489,924,604,1528,4017
604,1817,1072,2889,1070,699,1769,4658
605,2600,1534,4134,2017,1319,3336,7470
606,360,306,666,187,163,350,1016
607,3144,2668,5812,729,638,1367,7179
608,1981,1680,3661,1147,1004,2151,5812
609,694,589,1283,116,102,218,1501
610,91,46,137,23,12,35,172
611,7,0,7,249,3,252,259
612,0,0,0,33,0,33,33
613,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0
615,262,235,497,340,214,554,1051
616,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0
618,45,41,86,53,33,86,172
619,0,0,0,0,0,0,0
620,4009,2587,6596,1597,1487,3084,9680
621,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0
624,1182,1135,2317,1076,1308,2384,4701
625,0,0,0,0,0,0,0
626,478,308,786,302,282,584,1370
627,0,0,0,0,0,0,0
628,1199,773,1972,972,905,1877,3849
629,1344,1232,2576,981,862,1843,4419
630,0,0,0,0,0,0,0
631,8,8,16,10,7,17,33
632,167,165,332,96,52,148,480
633,0,0,0,0,0,0,0
634,1762,1379,3141,1377,1127,2504,5645
635,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0
637,2843,2582,5425,1125,1657,2782,8207
638,686,622,1308,232,343,575,1883
639,0,0,0,0,0,0,0
640,169,133,302,80,66,146,448
641,0,0,0,0,0,0,0
642,0,0,0,0,0,0,0
643,484,313,797,102,95,197,994
644,0,0,0,0,0,0,0
645,136,88,224,23,22,45,269
646,0,0,0,0,0,0,0
647,0,0,0,0,0,0,0
648,599,386,985,415,387,802,1787
649,211,136,347,81,75,156,503
650,768,609,1377,179,90,269,1646
